concat,weighted_sum,V
2 6 4,42,243.9535558223725
2 6 5,43,246.31801247596744
2 6 6,44,248.70033562183383
2 6 7,45,251.1096894741059
2 6 8,46,253.5356581211091
2 6 9,47,256.0057938098908
2 6 10,48,258.5160136
2 6 11,49,261.03892922401434
2 6 12,50,263.60160112380987
2 6 13,51,266.17720723152166
2 6 14,52,268.8098847866059
2 6 15,53,271.44220471382147
2 6 16,54,274.12199974060064
2 7 0,39,237.1363043785096
2 7 1,40,239.37118053436285
2 7 2,41,241.65688455104836
2 7 3,42,243.982806801796
2 7 4,43,246.3041245937348
2 7 5,44,248.68974089622503
2 7 6,45,251.1036098003388
2 7 7,46,253.5328865
2 7 8,47,256.00498914718634
2 7 9,48,258.5251629
2 7 10,49,261.0405385494233
2 7 11,50,263.6102735996247
2 7 12,51,266.18978381156927
2 7 13,52,268.8232362270356
2 7 14,53,271.4512050151825
2 7 15,54,274.1302847862244
2 7 16,55,276.8487632274629
2 8 0,40,239.38038945198065
2 8 1,41,241.65378510952
2 8 2,42,243.9530640840531
2 8 3,43,246.30625545978552
2 8 4,44,248.70756268501287
2 8 5,45,251.11845135688787
2 8 6,46,253.56847047805792
2 8 7,47,256.0098767280579
2 8 8,48,258.5387229919434
2 8 9,49,261.0712051391602
2 8 10,50,263.6070847511292
2 8 11,51,266.2148773670197
2 8 12,52,268.8348591327668
2 8 13,53,271.4719474315644
2 8 14,54,274.1436660289765
2 8 15,55,276.84861421585094
2 8 16,56,279.5841097831727
2 9 0,41,241.63097143173223
2 9 1,42,243.971273303032
2 9 2,43,246.29910290241247
2 9 3,44,248.68731200695044
2 9 4,45,251.1229515075684
2 9 5,46,253.5440921783448
2 9 6,47,256.01395964622503
2 9 7,48,258.5459649562836
2 9 8,49,261.07808947563177
2 9 9,50,263.6090517044068
2 9 10,51,266.2148475646973
2 9 11,52,268.83494853973394
2 9 12,53,271.49015665054327
2 9 13,54,274.17942881584173
2 9 14,55,276.87302231788647
2 9 15,56,279.600352
2 9 16,57,282.37080574035656
2 10 0,42,243.95389854907995
2 10 1,43,246.30597233772284
2 10 2,44,248.68030846118933
2 10 3,45,251.13311409950265
2 10 4,46,253.54126095771795
2 10 5,47,256.0453414916993
2 10 6,48,258.53502750396734
2 10 7,49,261.0833347
2 10 8,50,263.64329457283026
2 10 9,51,266.2420570850373
2 10 10,52,268.8479125499726
2 10 11,53,271.4903354644776
2 10 12,54,274.1971611976624
2 10 13,55,276.89918875694286
2 10 14,56,279.6154022216798
2 10 15,57,282.3692262
2 10 16,58,285.15666723251354
2 11 0,43,246.3099360466004
2 11 1,44,248.6883103847504
2 11 2,45,251.100778579712
2 11 3,46,253.57300043106085
2 11 4,47,256.0257017612458
2 11 5,48,258.5615813732148
2 11 6,49,261.0767781734467
2 11 7,50,263.6353671550752
2 11 8,51,266.24992489814764
2 11 9,52,268.8657939434052
2 11 10,53,271.5395092964173
2 11 11,54,274.2017507553102
2 11 12,55,276.9204080104829
2 11 13,56,279.6483337879182
